condition,window,state,observed,predicted,n_cases
ispinesib,ispi_d69 -> ispi_d139,4,0.08424908424908424,0.08419662976976124,91
ispinesib,ispi_d69 -> ispi_d139,5,0.0,0.002700430263408401,91
ispinesib,ispi_d69 -> ispi_d98,0,0.16512324468125159,0.09530801971250745,98
ispinesib,ispi_d69 -> ispi_d98,1,0.0,0.0026901686904233,98
ispinesib,ispi_d69 -> ispi_d98,2,0.04226313909712084,0.018310225351556724,98
ispinesib,ispi_d69 -> ispi_d98,3,0.7573743257755027,0.7961049422850914,98
ispinesib,ispi_d69 -> ispi_d98,4,0.03523929044612503,0.08489276895867198,98
ispinesib,ispi_d69 -> ispi_d98,5,0.0,0.002693875001749115,98
ispinesib,ispi_d98 -> ispi_d139,0,0.0,0.11617153566554461,91
ispinesib,ispi_d98 -> ispi_d139,1,0.0,0.0029724496122145437,91
