dataset,benchmark,task,split,repeat,seed,method,method_version,metric,value,status,runtime_seconds,peak_memory_gb,failure_reason,artifact
shared_plus_context_offset,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,2000,20260920.0,hard_ot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.0398039337845239,success,0.085291600000346,,,
shared_plus_context_offset,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,10000,20260916.0,soft_iot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.1508604888432931,success,0.9935421999998651,,,
shared_plus_context_offset,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,10000,20260916.0,hard_ot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.0118957364246071,success,0.1351744000003236,,,
shared_plus_context_offset,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,10000,20260917.0,soft_iot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.1186783539640445,success,0.963337700000011,,,
shared_plus_context_offset,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,10000,20260917.0,hard_ot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.0225459509500254,success,0.1563703000001624,,,
shared_plus_context_offset,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,10000,20260918.0,soft_iot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.0585936962044973,success,0.9668118999998114,,,
shared_plus_context_offset,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,10000,20260918.0,hard_ot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.0174803305575769,success,0.1507541000000856,,,
shared_plus_context_offset,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,10000,20260919.0,soft_iot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.1356045644629172,success,1.0804274999995869,,,
shared_plus_context_offset,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,10000,20260919.0,hard_ot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.0119123228528906,success,0.0913902999996025,,,
shared_plus_context_offset,B1_known_truth,known_truth_parameter_and_coupling_recovery,synthetic,10000,20260920.0,soft_iot,iot-benchmark-0.1.0,heldout_coupling_relative_frobenius,0.1676694214899196,success,1.0419104000002335,,,
